,Rainfall amount (millimetres),Date,Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m)
0,0.0,2014-01-01,30.6,31.2
1,0.0,2014-01-02,31.8,23.4
2,1.0,2014-01-03,34.5,29.6
3,0.0,2014-01-04,38.7,30.5
4,0.0,2014-01-05,33.6,15.7
5,0.0,2014-01-06,34.8,18.7
6,40.2,2014-01-07,31.2,27.2
7,0.4,2014-01-08,29.6,22.1
8,0.2,2014-01-09,28.6,19.8
9,1.4,2014-01-10,27.8,14.0
10,0.0,2014-01-11,29.8,22.6
11,0.0,2014-01-12,30.6,27.5
12,0.0,2014-01-13,29.6,24.6
13,0.0,2014-01-14,30.2,23.8
14,0.0,2014-01-15,30.4,26.4
15,0.0,2014-01-16,30.6,25.3
16,0.2,2014-01-17,30.8,28.8
17,0.0,2014-01-18,30.4,24.0
18,0.0,2014-01-19,31.8,30.2
19,0.0,2014-01-20,33.5,29.9
20,0.0,2014-01-21,32.9,29.7
21,0.0,2014-01-22,35.3,26.9
22,2.2,2014-01-23,30.1,6.0
23,94.0,2014-01-24,29.2,16.6
24,2.0,2014-01-25,28.7,11.1
25,1.2,2014-01-26,28.5,26.6
26,0.0,2014-01-27,28.6,22.3
27,0.0,2014-01-28,26.7,17.4
28,0.8,2014-01-29,27.4,18.1
29,0.2,2014-01-30,28.4,19.6
30,0.0,2014-01-31,26.9,12.0
31,0.0,2014-02-01,28.8,22.3
32,0.0,2014-02-02,30.0,22.9
33,1.6,2014-02-03,28.7,20.1
34,0.6,2014-02-04,29.7,24.0
35,0.0,2014-02-05,29.9,23.1
36,0.2,2014-02-06,27.4,18.4
37,0.0,2014-02-07,28.6,17.5
38,0.0,2014-02-08,29.2,21.6
39,0.0,2014-02-09,29.1,11.3
40,0.0,2014-02-10,28.8,18.1
41,0.0,2014-02-11,29.2,23.6
42,0.0,2014-02-12,29.8,22.4
43,0.0,2014-02-13,30.8,24.0
44,,2014-02-14,30.0,18.7
45,0.0,2014-02-15,31.6,26.4
46,0.0,2014-02-16,32.6,26.9
47,0.0,2014-02-17,34.1,24.3
48,8.4,2014-02-18,31.3,18.4
49,0.2,2014-02-19,31.9,25.9
50,0.0,2014-02-20,33.4,21.3
51,0.0,2014-02-21,34.0,18.3
52,2.2,2014-02-22,27.4,4.7
53,0.0,2014-02-23,30.2,24.4
54,1.2,2014-02-24,28.5,20.2
55,1.4,2014-02-25,29.6,22.5
56,0.0,2014-02-26,29.5,22.6
57,0.0,2014-02-27,30.7,26.3
58,0.0,2014-02-28,30.9,18.8
59,0.6,2014-03-01,30.4,22.8
60,0.0,2014-03-02,30.2,17.8
61,1.6,2014-03-03,27.8,14.7
62,4.6,2014-03-04,28.6,20.7
63,3.4,2014-03-05,27.9,13.8
64,0.0,2014-03-06,29.1,23.7
65,0.0,2014-03-07,28.8,15.8
66,0.2,2014-03-08,28.9,20.5
67,1.2,2014-03-09,28.3,15.4
68,2.2,2014-03-10,28.9,21.4
69,4.6,2014-03-11,28.7,19.9
70,0.8,2014-03-12,29.3,20.8
71,0.0,2014-03-13,29.6,22.5
72,0.0,2014-03-14,29.0,19.2
73,0.6,2014-03-15,30.2,23.1
74,0.0,2014-03-16,32.8,23.6
75,4.6,2014-03-17,31.8,22.9
76,0.2,2014-03-18,32.0,19.0
77,0.0,2014-03-19,30.6,18.8
78,0.6,2014-03-20,30.0,21.4
79,0.2,2014-03-21,29.0,15.3
80,0.6,2014-03-22,29.5,18.9
81,0.0,2014-03-23,31.6,20.5
82,0.0,2014-03-24,28.8,16.2
83,22.4,2014-03-25,26.5,7.3
84,21.6,2014-03-26,27.2,8.8
85,5.6,2014-03-27,23.8,3.0
86,82.6,2014-03-28,28.9,10.6
87,3.2,2014-03-29,32.6,20.0
88,0.8,2014-03-30,25.6,3.8
89,2.2,2014-03-31,29.3,16.8
90,0.6,2014-04-01,29.3,20.0
91,0.0,2014-04-02,29.9,20.0
92,0.0,2014-04-03,29.5,20.7
93,0.0,2014-04-04,29.5,17.2
94,0.0,2014-04-05,30.9,20.6
95,0.0,2014-04-06,31.0,17.3
96,1.8,2014-04-07,27.8,14.4
97,0.0,2014-04-08,27.0,13.0
98,0.0,2014-04-09,27.8,17.9
99,0.0,2014-04-10,26.3,17.0
100,0.0,2014-04-11,29.7,19.3
101,0.0,2014-04-12,31.3,14.9
102,0.0,2014-04-13,24.6,3.4
103,8.8,2014-04-14,24.9,8.1
104,0.0,2014-04-15,25.8,13.4
105,0.0,2014-04-16,28.2,18.1
106,0.0,2014-04-17,28.0,19.3
107,0.0,2014-04-18,28.4,19.3
108,0.0,2014-04-19,28.6,19.5
109,0.0,2014-04-20,28.5,18.9
110,0.0,2014-04-21,29.2,18.7
111,0.0,2014-04-22,27.5,18.7
112,0.0,2014-04-23,28.2,18.1
113,0.0,2014-04-24,29.0,18.3
114,0.0,2014-04-25,28.9,17.9
115,0.0,2014-04-26,29.1,16.5
116,0.0,2014-04-27,29.4,15.8
117,2.6,2014-04-28,24.6,11.2
118,0.4,2014-04-29,26.0,12.8
119,0.0,2014-04-30,27.1,14.6
120,4.6,2014-05-01,27.4,14.3
121,1.2,2014-05-02,23.5,6.2
122,13.8,2014-05-03,21.1,15.4
123,0.2,2014-05-04,,16.3
124,0.0,2014-05-05,22.5,16.2
125,0.0,2014-05-06,22.4,16.9
126,,2014-05-07,23.7,12.9
127,0.0,2014-05-08,24.2,11.7
128,0.0,2014-05-09,24.7,16.0
129,0.0,2014-05-10,24.0,9.6
130,0.2,2014-05-11,25.4,14.6
131,0.0,2014-05-12,24.7,10.7
132,3.6,2014-05-13,24.8,14.4
133,0.0,2014-05-14,23.2,12.5
134,0.0,2014-05-15,24.8,14.3
135,0.4,2014-05-16,23.0,10.8
136,1.2,2014-05-17,24.6,13.3
137,0.6,2014-05-18,25.1,11.3
138,0.2,2014-05-19,24.7,10.6
139,0.0,2014-05-20,24.7,11.7
140,0.0,2014-05-21,25.1,13.7
141,1.2,2014-05-22,26.1,11.2
142,0.0,2014-05-23,26.6,12.3
143,0.6,2014-05-24,27.0,14.4
144,0.0,2014-05-25,28.4,14.6
145,0.2,2014-05-26,28.4,14.5
146,0.0,2014-05-27,26.9,13.2
147,0.0,2014-05-28,27.9,14.1
148,0.0,2014-05-29,28.6,13.4
149,0.0,2014-05-30,24.9,9.7
150,0.6,2014-05-31,23.4,10.1
151,0.4,2014-06-01,24.8,12.3
152,0.0,2014-06-02,25.8,13.4
153,0.0,2014-06-03,24.6,11.4
154,0.0,2014-06-04,25.8,12.0
155,0.0,2014-06-05,26.1,13.7
156,0.0,2014-06-06,25.9,12.7
157,0.0,2014-06-07,24.4,13.8
158,0.0,2014-06-08,23.3,11.8
159,0.0,2014-06-09,22.4,11.6
160,0.0,2014-06-10,23.9,12.8
161,0.0,2014-06-11,22.8,11.0
162,0.0,2014-06-12,23.6,11.5
163,1.4,2014-06-13,24.1,11.8
164,0.8,2014-06-14,21.0,5.8
165,0.6,2014-06-15,20.6,14.1
166,0.0,2014-06-16,21.6,13.9
167,0.0,2014-06-17,22.9,14.0
168,0.0,2014-06-18,24.3,13.2
169,0.0,2014-06-19,20.3,8.0
170,5.8,2014-06-20,22.5,9.1
171,0.0,2014-06-21,25.6,12.9
172,5.2,2014-06-22,24.2,13.0
173,0.2,2014-06-23,24.1,13.6
174,0.0,2014-06-24,20.9,7.6
175,0.0,2014-06-25,21.8,13.6
176,0.0,2014-06-26,24.2,14.2
177,0.0,2014-06-27,23.6,14.2
178,0.0,2014-06-28,24.9,10.6
179,1.6,2014-06-29,19.9,14.4
180,0.2,2014-06-30,19.1,14.1
181,0.0,2014-07-01,19.8,14.5
182,0.0,2014-07-02,21.2,14.1
183,0.0,2014-07-03,22.6,13.7
184,0.0,2014-07-04,23.9,12.3
185,0.4,2014-07-05,24.4,12.8
186,0.0,2014-07-06,20.5,14.5
187,0.0,2014-07-07,19.9,14.4
188,0.0,2014-07-08,21.7,14.7
189,0.0,2014-07-09,23.4,14.7
190,0.0,2014-07-10,20.0,14.7
191,0.0,2014-07-11,22.4,15.0
192,0.0,2014-07-12,22.6,15.0
193,0.0,2014-07-13,21.8,14.3
194,0.0,2014-07-14,21.4,13.4
195,0.0,2014-07-15,20.5,9.0
196,0.8,2014-07-16,22.0,8.4
197,2.0,2014-07-17,22.2,15.0
198,0.2,2014-07-18,18.7,15.2
199,0.0,2014-07-19,20.3,15.2
200,0.0,2014-07-20,23.2,13.7
201,0.0,2014-07-21,22.2,10.1
202,0.0,2014-07-22,22.6,10.9
203,2.4,2014-07-23,22.8,14.2
204,0.2,2014-07-24,23.3,13.8
205,0.0,2014-07-25,23.8,14.7
206,0.0,2014-07-26,22.7,9.4
207,8.0,2014-07-27,24.4,15.7
208,0.2,2014-07-28,23.7,15.7
209,0.0,2014-07-29,25.1,16.1
210,0.0,2014-07-30,25.9,16.5
211,0.0,2014-07-31,25.4,16.1
212,0.0,2014-08-01,28.5,14.8
213,0.0,2014-08-02,21.4,16.6
214,0.0,2014-08-03,21.4,12.4
215,2.0,2014-08-04,20.2,11.5
216,0.4,2014-08-05,21.8,13.7
217,,2014-08-06,22.3,15.1
218,0.0,2014-08-07,24.0,16.6
219,0.0,2014-08-08,23.3,14.4
220,0.0,2014-08-09,21.9,11.1
221,0.0,2014-08-10,24.6,16.3
222,0.0,2014-08-11,25.9,17.0
223,0.0,2014-08-12,22.1,13.7
224,0.0,2014-08-13,22.6,15.8
225,0.0,2014-08-14,21.6,11.7
226,0.0,2014-08-15,20.9,10.1
227,4.0,2014-08-16,17.4,4.9
228,51.6,2014-08-17,22.5,16.8
229,0.0,2014-08-18,20.9,16.1
230,0.0,2014-08-19,24.3,18.0
231,0.0,2014-08-20,24.2,17.3
232,0.0,2014-08-21,23.2,15.5
233,3.2,2014-08-22,17.1,4.2
234,22.4,2014-08-23,18.5,6.7
235,6.0,2014-08-24,22.8,13.6
236,0.0,2014-08-25,24.0,13.0
237,0.0,2014-08-26,23.9,17.1
238,0.0,2014-08-27,23.8,15.3
239,3.6,2014-08-28,23.7,12.5
240,0.0,2014-08-29,23.9,19.3
241,0.0,2014-08-30,24.3,18.3
242,0.0,2014-08-31,25.8,18.9
243,0.0,2014-09-01,25.3,18.1
244,0.0,2014-09-02,29.1,14.9
245,0.0,2014-09-03,23.1,20.9
246,0.0,2014-09-04,23.9,20.9
247,0.0,2014-09-05,23.8,20.5
248,0.0,2014-09-06,23.4,15.6
249,0.0,2014-09-07,23.1,15.9
250,3.0,2014-09-08,23.0,13.6
251,0.0,2014-09-09,23.6,17.2
252,0.0,2014-09-10,28.3,19.7
253,0.0,2014-09-11,27.0,21.7
254,0.0,2014-09-12,25.2,17.1
255,0.0,2014-09-13,24.2,14.5
256,0.0,2014-09-14,24.7,20.3
257,0.0,2014-09-15,26.3,21.1
258,0.0,2014-09-16,26.9,20.6
259,0.0,2014-09-17,29.5,23.0
260,0.0,2014-09-18,27.3,23.2
261,0.0,2014-09-19,24.7,22.5
262,0.0,2014-09-20,24.0,15.7
263,0.0,2014-09-21,24.4,18.9
264,0.6,2014-09-22,23.4,15.5
265,3.0,2014-09-23,23.9,17.5
266,0.8,2014-09-24,23.4,14.8
267,0.0,2014-09-25,26.3,15.2
268,9.8,2014-09-26,25.5,17.9
269,0.0,2014-09-27,26.6,20.6
270,10.4,2014-09-28,23.9,18.9
271,0.0,2014-09-29,24.9,23.3
272,0.0,2014-09-30,26.2,23.5
273,0.0,2014-10-01,31.4,23.8
274,0.0,2014-10-02,23.2,15.6
275,0.0,2014-10-03,26.0,23.8
276,0.0,2014-10-04,25.8,19.6
277,0.0,2014-10-05,26.9,24.1
278,0.0,2014-10-06,27.2,24.5
279,0.0,2014-10-07,26.9,24.6
280,0.0,2014-10-08,31.7,23.4
281,0.0,2014-10-09,25.3,14.4
282,0.0,2014-10-10,25.4,17.4
283,0.0,2014-10-11,26.4,21.3
284,0.0,2014-10-12,26.2,23.8
285,0.0,2014-10-13,26.9,25.3
286,3.2,2014-10-14,27.7,22.0
287,0.0,2014-10-15,26.2,25.8
288,0.0,2014-10-16,26.7,20.5
289,0.0,2014-10-17,30.2,25.7
290,0.0,2014-10-18,26.5,23.5
291,0.0,2014-10-19,26.9,24.3
292,0.0,2014-10-20,26.6,27.3
293,0.0,2014-10-21,27.1,15.0
294,0.0,2014-10-22,25.5,21.5
295,0.0,2014-10-23,27.0,27.9
296,0.0,2014-10-24,27.3,27.5
297,0.0,2014-10-25,28.6,27.2
298,0.0,2014-10-26,29.0,27.4
299,0.0,2014-10-27,34.0,26.8
300,2.6,2014-10-28,34.2,27.6
301,0.0,2014-10-29,30.7,27.4
302,0.0,2014-10-30,28.8,27.5
303,0.0,2014-10-31,30.4,25.1
304,0.0,2014-11-01,30.9,25.4
305,0.0,2014-11-02,31.2,24.7
306,0.0,2014-11-03,23.8,5.4
307,0.0,2014-11-04,26.4,18.5
308,0.0,2014-11-05,27.0,25.1
309,0.0,2014-11-06,28.4,27.1
310,9.2,2014-11-07,29.1,23.3
311,0.0,2014-11-08,29.1,29.3
312,0.0,2014-11-09,28.5,30.0
313,0.0,2014-11-10,29.2,27.4
314,0.0,2014-11-11,29.9,27.9
315,0.0,2014-11-12,28.3,17.2
316,9.2,2014-11-13,28.6,21.5
317,0.2,2014-11-14,30.0,28.6
318,0.0,2014-11-15,32.2,28.5
319,0.0,2014-11-16,38.9,24.3
320,0.0,2014-11-17,30.3,26.9
321,2.6,2014-11-18,28.3,13.1
322,13.8,2014-11-19,30.0,12.0
323,56.0,2014-11-20,28.9,21.8
324,0.0,2014-11-21,30.4,26.6
325,0.0,2014-11-22,31.5,27.7
326,0.0,2014-11-23,30.4,28.5
327,0.0,2014-11-24,30.5,29.3
328,0.0,2014-11-25,31.1,29.4
329,3.6,2014-11-26,29.1,16.0
330,3.0,2014-11-27,32.0,23.4
331,43.4,2014-11-28,27.4,15.1
332,1.0,2014-11-29,27.3,30.2
333,0.0,2014-11-30,27.8,29.3
334,0.0,2014-12-01,28.4,27.2
335,0.0,2014-12-02,29.1,17.1
336,0.2,2014-12-03,29.8,28.6
337,0.0,2014-12-04,30.3,27.7
338,0.0,2014-12-05,30.0,17.3
339,11.6,2014-12-06,28.4,11.2
340,1.4,2014-12-07,30.3,25.6
341,0.0,2014-12-08,30.4,11.4
342,25.2,2014-12-09,33.2,22.2
343,0.6,2014-12-10,29.9,23.2
344,0.0,2014-12-11,32.2,10.0
345,27.0,2014-12-12,24.7,7.4
346,3.8,2014-12-13,24.9,8.0
347,0.0,2014-12-14,26.3,13.6
348,0.0,2014-12-15,28.8,31.1
349,0.0,2014-12-16,30.0,30.0
350,0.0,2014-12-17,35.0,30.9
351,1.2,2014-12-18,32.4,23.5
352,16.8,2014-12-19,34.7,29.3
353,0.0,2014-12-20,29.1,20.3
354,0.0,2014-12-21,29.3,20.5
355,0.0,2014-12-22,28.5,28.0
356,0.0,2014-12-23,28.8,24.8
357,0.0,2014-12-24,30.3,29.9
358,0.0,2014-12-25,30.2,24.0
359,0.0,2014-12-26,31.7,16.1
360,7.2,2014-12-27,23.4,3.5
361,22.4,2014-12-28,27.0,6.6
362,6.0,2014-12-29,29.9,13.7
363,1.0,2014-12-30,35.5,29.9
364,0.0,2014-12-31,33.9,26.7
365,12.2,2015-01-01,31.3,23.4
366,0.2,2015-01-02,30.5,23.2
367,1.2,2015-01-03,28.9,11.7
368,16.8,2015-01-04,30.2,24.8
369,0.0,2015-01-05,28.1,10.9
370,21.6,2015-01-06,29.5,28.3
371,0.0,2015-01-07,27.1,14.6
372,1.8,2015-01-08,28.4,15.7
373,3.6,2015-01-09,29.5,25.7
374,0.0,2015-01-10,30.2,28.0
375,0.0,2015-01-11,28.2,9.8
376,14.6,2015-01-12,30.4,10.0
377,38.6,2015-01-13,28.4,11.8
378,0.2,2015-01-14,30.3,13.1
379,,2015-01-15,36.0,28.6
380,0.0,2015-01-16,32.5,30.8
381,0.0,2015-01-17,35.3,27.3
382,0.0,2015-01-18,36.7,28.3
383,0.0,2015-01-19,31.8,24.3
384,35.8,2015-01-20,29.2,21.4
385,0.2,2015-01-21,30.0,24.4
386,1.0,2015-01-22,28.6,10.6
387,100.4,2015-01-23,24.8,2.6
388,65.2,2015-01-24,30.8,17.1
389,0.0,2015-01-25,36.7,28.1
390,0.0,2015-01-26,33.1,24.4
391,0.0,2015-01-27,30.2,21.0
392,5.2,2015-01-28,28.1,9.9
393,0.0,2015-01-29,28.9,22.4
394,3.8,2015-01-30,29.0,26.8
395,0.0,2015-01-31,31.8,29.1
396,17.2,2015-02-01,34.4,30.3
397,0.0,2015-02-02,29.6,26.2
398,2.2,2015-02-03,,19.8
399,,2015-02-04,28.6,23.5
400,0.0,2015-02-05,29.2,26.7
401,2.8,2015-02-06,28.3,26.5
402,0.2,2015-02-07,29.3,20.1
403,0.2,2015-02-08,29.9,25.7
404,0.0,2015-02-09,30.3,25.7
405,5.2,2015-02-10,29.0,23.0
406,12.2,2015-02-11,28.9,21.9
407,8.4,2015-02-12,28.9,18.6
408,1.6,2015-02-13,29.6,22.8
409,0.4,2015-02-14,29.0,24.2
410,0.2,2015-02-15,28.8,19.3
411,0.4,2015-02-16,29.4,25.3
412,0.4,2015-02-17,29.1,20.7
413,0.2,2015-02-18,29.2,16.4
414,4.6,2015-02-19,26.8,6.5
415,54.0,2015-02-20,22.6,2.6
416,89.2,2015-02-21,27.3,3.1
417,68.4,2015-02-22,31.4,19.0
418,4.4,2015-02-23,30.6,22.8
419,0.4,2015-02-24,30.8,20.3
420,0.0,2015-02-25,29.8,21.6
421,0.2,2015-02-26,29.8,19.7
422,1.8,2015-02-27,30.2,20.1
423,0.2,2015-02-28,30.1,21.2
424,0.0,2015-03-01,31.3,25.3
425,0.0,2015-03-02,31.6,20.1
426,0.0,2015-03-03,30.6,26.0
427,0.0,2015-03-04,30.5,25.4
428,0.0,2015-03-05,36.1,24.9
429,0.0,2015-03-06,28.6,18.1
430,0.0,2015-03-07,30.2,23.5
431,0.0,2015-03-08,30.9,25.0
432,0.0,2015-03-09,31.6,22.5
433,0.0,2015-03-10,30.6,21.9
434,0.0,2015-03-11,30.1,17.3
435,0.0,2015-03-12,29.9,21.6
436,0.0,2015-03-13,29.5,22.0
437,0.0,2015-03-14,28.8,21.2
438,0.0,2015-03-15,32.3,20.9
439,0.0,2015-03-16,28.5,21.8
440,0.0,2015-03-17,28.8,17.7
441,0.0,2015-03-18,28.9,12.7
442,7.6,2015-03-19,33.5,23.5
443,0.0,2015-03-20,32.4,20.7
444,0.2,2015-03-21,30.3,4.3
445,68.0,2015-03-22,26.3,7.6
446,81.8,2015-03-23,28.3,17.7
447,0.0,2015-03-24,30.5,20.3
448,0.0,2015-03-25,31.7,21.7
449,3.8,2015-03-26,30.7,17.2
450,0.0,2015-03-27,31.1,17.9
451,0.0,2015-03-28,28.5,15.0
452,0.0,2015-03-29,28.5,20.4
453,0.0,2015-03-30,28.1,13.8
454,0.0,2015-03-31,26.1,10.3
455,68.2,2015-04-01,24.8,7.4
456,8.8,2015-04-02,26.7,14.3
457,38.4,2015-04-03,27.7,13.6
458,0.4,2015-04-04,28.5,14.2
459,1.8,2015-04-05,28.5,17.2
460,0.0,2015-04-06,,20.5
461,0.0,2015-04-07,28.4,14.5
462,0.0,2015-04-08,26.5,21.5
463,0.0,2015-04-09,26.9,21.1
464,0.0,2015-04-10,27.2,19.0
465,0.0,2015-04-11,26.5,16.0
466,0.0,2015-04-12,28.7,19.5
467,0.0,2015-04-13,27.0,16.8
468,0.0,2015-04-14,26.6,15.9
469,0.0,2015-04-15,26.3,13.9
470,0.2,2015-04-16,28.2,18.1
471,0.0,2015-04-17,28.0,17.8
472,3.4,2015-04-18,27.7,15.3
473,0.4,2015-04-19,29.0,16.1
474,14.6,2015-04-20,21.3,3.8
475,2.0,2015-04-21,21.3,18.5
476,0.2,2015-04-22,23.8,18.8
477,0.0,2015-04-23,25.7,18.8
478,0.0,2015-04-24,28.3,17.6
479,0.0,2015-04-25,29.4,18.2
480,0.0,2015-04-26,23.4,19.0
481,0.0,2015-04-27,25.2,18.1
482,0.0,2015-04-28,25.2,17.0
483,,2015-04-29,23.6,13.3
484,7.8,2015-04-30,18.0,3.7
485,56.2,2015-05-01,21.0,3.7
486,182.6,2015-05-02,24.9,16.8
487,0.0,2015-05-03,24.2,13.2
488,0.0,2015-05-04,27.3,16.1
489,0.0,2015-05-05,,15.9
490,,2015-05-06,29.6,16.4
491,0.0,2015-05-07,26.1,16.3
492,,2015-05-08,24.4,16.4
493,0.0,2015-05-09,23.7,14.4
494,0.0,2015-05-10,25.1,16.3
495,0.0,2015-05-11,26.0,16.3
496,0.0,2015-05-12,25.9,15.9
497,0.0,2015-05-13,24.9,16.0
498,0.0,2015-05-14,20.9,16.1
499,0.0,2015-05-15,24.1,14.5
500,0.0,2015-05-16,24.0,11.8
501,1.0,2015-05-17,23.0,11.3
502,6.6,2015-05-18,22.9,8.7
503,0.8,2015-05-19,22.7,9.5
504,0.0,2015-05-20,26.8,13.2
505,0.2,2015-05-21,25.2,9.2
506,1.4,2015-05-22,19.9,15.1
507,0.0,2015-05-23,22.8,13.9
508,0.0,2015-05-24,23.6,14.3
509,0.0,2015-05-25,23.5,12.3
510,0.0,2015-05-26,,12.1
511,,2015-05-27,24.3,12.5
512,0.0,2015-05-28,25.1,13.8
513,0.0,2015-05-29,25.5,13.6
514,0.0,2015-05-30,27.6,13.4
515,0.0,2015-05-31,26.1,9.5
516,0.0,2015-06-01,20.5,9.0
517,0.0,2015-06-02,19.5,14.8
518,0.0,2015-06-03,19.7,12.6
519,0.0,2015-06-04,22.3,14.2
520,0.0,2015-06-05,21.4,14.2
521,0.0,2015-06-06,22.1,13.0
522,0.0,2015-06-07,22.8,13.5
523,0.2,2015-06-08,24.5,12.8
524,0.0,2015-06-09,24.2,11.6
525,0.0,2015-06-10,24.2,12.8
526,0.0,2015-06-11,21.8,8.0
527,4.6,2015-06-12,20.1,9.3
528,1.2,2015-06-13,21.4,10.9
529,4.2,2015-06-14,22.2,10.4
530,4.0,2015-06-15,23.2,10.3
531,1.0,2015-06-16,21.5,7.6
532,3.4,2015-06-17,21.0,4.6
533,2.4,2015-06-18,22.7,13.5
534,0.0,2015-06-19,21.6,13.2
535,0.0,2015-06-20,20.9,13.8
536,0.0,2015-06-21,21.1,13.6
537,0.0,2015-06-22,20.5,10.0
538,0.0,2015-06-23,20.6,10.1
539,0.0,2015-06-24,19.6,9.6
540,0.0,2015-06-25,19.6,8.2
541,0.2,2015-06-26,22.7,12.4
542,0.0,2015-06-27,22.6,11.0
543,2.4,2015-06-28,22.2,10.5
544,7.0,2015-06-29,18.4,7.3
545,4.0,2015-06-30,23.1,12.3
546,0.2,2015-07-01,23.3,12.7
547,0.0,2015-07-02,19.6,13.0
548,0.0,2015-07-03,20.7,14.1
549,0.0,2015-07-04,21.3,13.5
550,0.0,2015-07-05,22.8,13.6
551,0.0,2015-07-06,24.1,14.0
552,0.0,2015-07-07,23.0,14.5
553,0.0,2015-07-08,20.4,10.8
554,0.0,2015-07-09,19.4,9.8
555,0.2,2015-07-10,20.2,10.2
556,0.4,2015-07-11,21.2,11.3
557,0.6,2015-07-12,18.3,14.9
558,0.2,2015-07-13,18.2,14.4
559,0.0,2015-07-14,19.2,14.8
560,0.0,2015-07-15,18.2,12.0
561,0.0,2015-07-16,17.4,11.0
562,0.0,2015-07-17,16.1,14.9
563,0.0,2015-07-18,19.4,15.0
564,0.0,2015-07-19,19.3,11.8
565,0.0,2015-07-20,20.9,12.9
566,0.2,2015-07-21,21.6,10.3
567,2.8,2015-07-22,18.7,8.9
568,4.4,2015-07-23,23.1,10.8
569,0.0,2015-07-24,24.4,10.4
570,0.0,2015-07-25,24.3,11.8
571,0.2,2015-07-26,25.1,13.3
572,0.0,2015-07-27,22.9,13.9
573,0.0,2015-07-28,21.4,15.5
574,0.0,2015-07-29,21.7,15.7
575,0.0,2015-07-30,22.8,15.2
576,0.0,2015-07-31,24.1,14.8
577,0.0,2015-08-01,23.6,15.9
578,0.0,2015-08-02,25.7,16.0
579,0.0,2015-08-03,26.7,15.8
580,0.0,2015-08-04,21.8,12.2
581,0.0,2015-08-05,19.1,17.0
582,0.0,2015-08-06,21.1,16.7
583,0.0,2015-08-07,21.4,16.6
584,0.0,2015-08-08,22.1,17.0
585,0.0,2015-08-09,22.5,16.0
586,0.0,2015-08-10,23.0,16.8
587,0.0,2015-08-11,26.4,17.2
588,0.2,2015-08-12,28.4,13.2
589,3.6,2015-08-13,22.3,17.9
590,0.0,2015-08-14,23.0,17.7
591,0.0,2015-08-15,22.6,15.4
592,0.0,2015-08-16,21.7,12.3
593,0.0,2015-08-17,23.4,15.6
594,0.0,2015-08-18,24.2,18.1
595,0.0,2015-08-19,22.8,14.6
596,0.0,2015-08-20,22.1,11.5
597,0.4,2015-08-21,22.4,11.6
598,2.2,2015-08-22,24.5,15.1
599,0.0,2015-08-23,24.1,10.9
600,0.0,2015-08-24,25.3,12.6
601,2.2,2015-08-25,29.1,16.3
602,0.0,2015-08-26,28.5,16.7
603,0.0,2015-08-27,23.9,6.0
604,5.0,2015-08-28,24.7,16.6
605,0.2,2015-08-29,22.9,12.8
606,13.6,2015-08-30,23.2,19.8
607,0.2,2015-08-31,23.7,19.8
608,0.0,2015-09-01,25.1,20.5
609,,2015-09-02,25.1,18.2
610,2.4,2015-09-03,25.3,18.4
611,0.2,2015-09-04,24.9,18.0
612,0.0,2015-09-05,23.6,16.6
613,0.0,2015-09-06,24.0,14.1
614,0.0,2015-09-07,25.5,16.2
615,0.0,2015-09-08,28.1,18.5
616,0.0,2015-09-09,25.6,21.5
